Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
14046_Houghton_FT_07094__S17_1x1_d,14046,Nikon,1x,1,Houghton,Houghton,7094,7094,,S17,,d,
14047_Houghton_FT_07094__S17_1x1_l,14047,Nikon,1x,1,Houghton,Houghton,7094,7094,,S17,,l,
14048_Houghton_FT_07094__S18_1x1_d,14048,Nikon,1x,1,Houghton,Houghton,7094,7094,,S18,,d,
14049_Houghton_FT_07094__S18_1x1_l,14049,Nikon,1x,1,Houghton,Houghton,7094,7094,,S18,,l,
14050_Houghton_FT_07094__S19_1x1_d,14050,Nikon,1x,1,Houghton,Houghton,7094,7094,,S19,,d,
14051_Houghton_FT_07094__S19_1x1_l,14051,Nikon,1x,1,Houghton,Houghton,7094,7094,,S19,,l,
14052_Houghton_FT_07094__S20_1x1_d,14052,Nikon,1x,1,Houghton,Houghton,7094,7094,,S20,,d,
14053_Houghton_FT_07094__S20_1x1_l,14053,Nikon,1x,1,Houghton,Houghton,7094,7094,,S20,,l,
14054_Houghton_FT_07094__S21_1x1_d,14054,Nikon,1x,1,Houghton,Houghton,7094,7094,,S21,,d,
14055_Houghton_FT_07094__S21_1x1_l,14055,Nikon,1x,1,Houghton,Houghton,7094,7094,,S21,,l,
14056_Houghton_FT_07094__S22_1x1_d,14056,Nikon,1x,1,Houghton,Houghton,7094,7094,,S22,,d,
14057_Houghton_FT_07094__S22_1x1_l,14057,Nikon,1x,1,Houghton,Houghton,7094,7094,,S22,,l,
14058_Houghton_FT_07094__S23_1x1_d,14058,Nikon,1x,1,Houghton,Houghton,7094,7094,,S23,,d,
14059_Houghton_FT_07094__S23_1x1_l,14059,Nikon,1x,1,Houghton,Houghton,7094,7094,,S23,,l,
14060_Houghton_FT_07094__S24_1x1_d,14060,Nikon,1x,1,Houghton,Houghton,7094,7094,,S24,,d,
14061_Houghton_FT_07094__S24_1x1_l,14061,Nikon,1x,1,Houghton,Houghton,7094,7094,,S24,,l,
14062_Houghton_FT_07094__S25_1x1_d,14062,Nikon,1x,1,Houghton,Houghton,7094,7094,,S25,,d,
14063_Houghton_FT_07094__S25_1x1_l,14063,Nikon,1x,1,Houghton,Houghton,7094,7094,,S25,,l,
14066_Houghton_FT_07225__S1_1x1_d,14066,Nikon,1x,1,Houghton,Houghton,7225,7225,,S1,,d,
14067_Houghton_FT_07225__S1_1x1_l,14067,Nikon,1x,1,Houghton,Houghton,7225,7225,,S1,,l,
14068_Houghton_FT_07225__S2_1x1_d,14068,Nikon,1x,1,Houghton,Houghton,7225,7225,,S2,,d,
