Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1036_HIGH09_B_R6_3of3_Taes_1x1_d_uc,1036,Nikon,1x,1,HIGH09,B,R6,Mid,3of3,External,Taes,d,uc
1037_HIGH09_B_R6_3of3_Taes_1x1_l_uc,1037,Nikon,1x,1,HIGH09,B,R6,Mid,3of3,External,Taes,l,uc
1038_HIGH09_B_R6_3of3_Taes_1x1_p_uc,1038,Nikon,1x,1,HIGH09,B,R6,Mid,3of3,External,Taes,p,uc
1039_HIGH09_B_R7_1of3_Taes_1x1_d_uc,1039,Nikon,1x,1,HIGH09,B,R7,Mid,1of3,External,Taes,d,uc
1040_HIGH09_B_R7_1of3_Taes_1x1_l_uc,1040,Nikon,1x,1,HIGH09,B,R7,Mid,1of3,External,Taes,l,uc
1041_HIGH09_B_R7_1of3_Taes_1x1_p_uc,1041,Nikon,1x,1,HIGH09,B,R7,Mid,1of3,External,Taes,p,uc
1042_HIGH09_B_R7_2of3_Taes_1x1_d_uc,1042,Nikon,1x,1,HIGH09,B,R7,Mid,2of3,Internal,Taes,d,uc
1043_HIGH09_B_R7_2of3_Taes_1x1_l_uc,1043,Nikon,1x,1,HIGH09,B,R7,Mid,2of3,Internal,Taes,l,uc
1044_HIGH09_B_R7_2of3_Taes_1x1_p_uc,1044,Nikon,1x,1,HIGH09,B,R7,Mid,2of3,Internal,Taes,p,uc
1045_HIGH09_B_R12_1of2_Taes_1x1_d_uc,1045,Nikon,1x,1,HIGH09,B,R12,Top,1of2,External,Taes,d,uc
1046_HIGH09_B_R12_1of2_Taes_1x1_l_uc,1046,Nikon,1x,1,HIGH09,B,R12,Top,1of2,External,Taes,l,uc
1047_HIGH09_B_R12_1of2_Taes_1x1_p_uc,1047,Nikon,1x,1,HIGH09,B,R12,Top,1of2,External,Taes,p,uc
1048_HIGH09_B_R12_2of2_Taes_1x1_d_uc,1048,Nikon,1x,1,HIGH09,B,R12,Top,2of2,External,Taes,d,uc
1049_HIGH09_B_R12_2of2_Taes_1x1_l_uc,1049,Nikon,1x,1,HIGH09,B,R12,Top,2of2,External,Taes,l,uc
1050_HIGH09_B_R12_2of2_Taes_1x1_p_uc,1050,Nikon,1x,1,HIGH09,B,R12,Top,2of2,External,Taes,p,uc
1051_HIGH09_B_R13_1of1_Taes_1x1_d_uc,1051,Nikon,1x,1,HIGH09,B,R13,Top,1of1,Solo,Taes,d,uc
1052_HIGH09_B_R13_1of1_Taes_1x1_l_uc,1052,Nikon,1x,1,HIGH09,B,R13,Top,1of1,Solo,Taes,l,uc
1053_HIGH09_B_R13_1of1_Taes_1x1_p_uc,1053,Nikon,1x,1,HIGH09,B,R13,Top,1of1,Solo,Taes,p,uc
1054_HIGH09_C_R1_1of2_Taes_1x1_d_uc,1054,Nikon,1x,1,HIGH09,C,R1,Base,1of2,External,Taes,d,uc
1055_HIGH09_C_R1_1of2_Taes_1x1_l_uc,1055,Nikon,1x,1,HIGH09,C,R1,Base,1of2,External,Taes,l,uc
1056_HIGH09_C_R1_1of2_Taes_1x1_p_uc,1056,Nikon,1x,1,HIGH09,C,R1,Base,1of2,External,Taes,p,uc
1057_HIGH09_C_R1_2of2_Taes_1x1_d_uc,1057,Nikon,1x,1,HIGH09,C,R1,Base,2of2,External,Taes,d,uc
1058_HIGH09_C_R1_2of2_Taes_1x1_l_uc,1058,Nikon,1x,1,HIGH09,C,R1,Base,2of2,External,Taes,l,uc
1059_HIGH09_C_R1_2of2_Taes_1x1_p_uc,1059,Nikon,1x,1,HIGH09,C,R1,Base,2of2,External,Taes,p,uc
1060_HIGH09_C_R2_1of2_Taes_1x1_d_uc,1060,Nikon,1x,1,HIGH09,C,R2,Base,1of2,External,Taes,d,uc
1061_HIGH09_C_R2_1of2_Taes_1x1_l_uc,1061,Nikon,1x,1,HIGH09,C,R2,Base,1of2,External,Taes,l,uc
1062_HIGH09_C_R2_1of2_Taes_1x1_p_uc,1062,Nikon,1x,1,HIGH09,C,R2,Base,1of2,External,Taes,p,uc
1063_HIGH09_C_R8_1of3_Taes_1x1_d_uc,1063,Nikon,1x,1,HIGH09,C,R8,Mid,1of3,External,Taes,d,uc
1064_HIGH09_C_R8_1of3_Taes_1x1_l_uc,1064,Nikon,1x,1,HIGH09,C,R8,Mid,1of3,External,Taes,l,uc
1065_HIGH09_C_R8_1of3_Taes_1x1_p_uc,1065,Nikon,1x,1,HIGH09,C,R8,Mid,1of3,External,Taes,p,uc
1066_HIGH09_C_R8_2of3_Taes_1x1_d_uc,1066,Nikon,1x,1,HIGH09,C,R8,Mid,2of3,Internal,Taes,d,uc
1067_HIGH09_C_R8_2of3_Taes_1x1_l_uc,1067,Nikon,1x,1,HIGH09,C,R8,Mid,2of3,Internal,Taes,l,uc
1068_HIGH09_C_R8_2of3_Taes_1x1_p_uc,1068,Nikon,1x,1,HIGH09,C,R8,Mid,2of3,Internal,Taes,p,uc
1069_HIGH09_C_R8_3of3_Taes_1x1_d_uc,1069,Nikon,1x,1,HIGH09,C,R8,Mid,3of3,External,Taes,d,uc
1070_HIGH09_C_R8_3of3_Taes_1x1_l_uc,1070,Nikon,1x,1,HIGH09,C,R8,Mid,3of3,External,Taes,l,uc
1071_HIGH09_C_R8_3of3_Taes_1x1_p_uc,1071,Nikon,1x,1,HIGH09,C,R8,Mid,3of3,External,Taes,p,uc
1072_HIGH09_C_R14_2of2_Taes_1x1_d_uc,1072,Nikon,1x,1,HIGH09,C,R14,Top,2of2,External,Taes,d,uc
1073_HIGH09_C_R14_2of2_Taes_1x1_l_uc,1073,Nikon,1x,1,HIGH09,C,R14,Top,2of2,External,Taes,l,uc
1074_HIGH09_C_R14_2of2_Taes_1x1_p_uc,1074,Nikon,1x,1,HIGH09,C,R14,Top,2of2,External,Taes,p,uc
1075_HIGH09_C_R15_1of1_Taes_1x1_d_uc,1075,Nikon,1x,1,HIGH09,C,R15,Top,1of1,Solo,Taes,d,uc
1076_HIGH09_C_R15_1of1_Taes_1x1_l_uc,1076,Nikon,1x,1,HIGH09,C,R15,Top,1of1,Solo,Taes,l,uc
1077_HIGH09_C_R15_1of1_Taes_1x1_p_uc,1077,Nikon,1x,1,HIGH09,C,R15,Top,1of1,Solo,Taes,p,uc
